sample_id,text,source_wav_path,duration
metadata_SPK_17_002036,الرواد العمالية الجديدة اللي يقدرون,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_17/wavs/SPK_17_002036.wav,2.239
bahraini_conversation_multiturn_gen_single_speaker_cleaned_000259_assistant_05,وإذا عندج سخان ماي، لا يظل شغال طول اليوم، هذا بعد يرفع بدون ما تحسين.,,
metadata_SPK_01_002332,وهذه قاعدين نشوفها فعلا في إيبان و في بحرين دول للطيران,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_01/wavs/SPK_01_002332.wav,2.358
metadata_SPK_04_002619,أنا أشوفها مؤحين من قبل و بقولك ممكن من عشر سنين أنا لحظة و كل ما لا يكثر,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_04/wavs/SPK_04_002619.wav,6.0
metadata_SPK_01_003070,بقوتك بأن تكون مع أخوانك مع والدتك,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_01/wavs/SPK_01_003070.wav,3.071
metadata_SPK_03_002238,الأشياء ساعت بعض أحيان إذا في مباراة بعدي تمون,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_03/wavs/SPK_03_002238.wav,4.005
metadata_SPK_04_001522,صالفات الدورات التنمية لا حد اسألتش، لا حد جالتش، وخالتش,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_04/wavs/SPK_04_001522.wav,6.0
metadata_SPK_01_000557,ساعد وما تكلمني عن مشاركته بشكل عام في «لامع»,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_01/wavs/SPK_01_000557.wav,3.122
metadata_SPK_04_003120,لا تقولي بنتي ريم يمّا بقولك,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_04/wavs/SPK_04_003120.wav,3.037
bahraini_conversation_multiturn_gen_single_speaker_cleaned_000090_assistant_03,حطي لهم خيار واضح مثل فواكه، زبادي (إذا يناسب)، بيض مسلوق، وسلطة تونة/دجاج بدون خبز. والأحسن تكتبين ملاحظة “بدون خبز” في جزء من الطلب.,,
metadata_SPK_55_000076,أخروا عليها صارت تسامم فجرة لما صار تسامم,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_55/wavs/SPK_55_000076.wav,6.0
metadata_SPK_04_000225,صوت مزعج مقرف قم تاكل في حجرتاي,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_04/wavs/SPK_04_000225.wav,3.614
metadata_SPK_03_002157,اللي قاعد يختلف ايه اللي قاعد يخلص سريع ايه ده قانعة عالية او قانعة اقل يعني,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_03/wavs/SPK_03_002157.wav,5.312
metadata_SPK_04_003458,هو أنا باتوقع مش هاي موه,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_04/wavs/SPK_04_003458.wav,1.798
metadata_SPK_55_000344,بنكرياس، القنوات اللي بين الأعضاء,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_55/wavs/SPK_55_000344.wav,4.296
metadata_SPK_01_000402,بس يعني بعد Abdullah احنا صحيح قاعدين نذكر لكن في في,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_01/wavs/SPK_01_000402.wav,6.0
metadata_SPK_17_002796,ساعات أشياء حدها بسيطة,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_17/wavs/SPK_17_002796.wav,1.815
bahraini_sft_conversation_gen_single_speaker_cleaned_000053_response,تقدر تختار إذا جدول الدكتور فيه شاغر، وإذا ما في نعرض لك بدائل بنفس التخصص. عطيني اسم الدكتور والتاريخ اللي تبيه.,,
metadata_SPK_04_003329,وراح يبي ياخذ أمه موات شافها,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_04/wavs/SPK_04_003329.wav,2.697
metadata_SPK_55_002768,شين فارق بينهم؟ يعني,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_55/wavs/SPK_55_002768.wav,2.052
metadata_SPK_04_003285,أنا قريت الجملة قعدت أخذ زمة,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_04/wavs/SPK_04_003285.wav,2.392
metadata_SPK_01_001882,سبب هذه القلق فروحنا نعرف أنه جد سيدي جواب الملك أصدره,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_01/wavs/SPK_01_001882.wav,4.439
metadata_SPK_03_000965,والعبّل عزيزي سقط عليه,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_03/wavs/SPK_03_000965.wav,1.186
bahraini_sft_conversation_gen_cleaned_000371_response,تقدر بالمطار بس غالبا أغلى من الدفع أونلاين قبل الرحلة. إذا تقدر، ادخل على حجزك وادفع زيادة الشنط قبل لا تروح، يوفر عليك.,,
metadata_SPK_03_002014,الكل يحبها,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_03/wavs/SPK_03_002014.wav,0.915
metadata_SPK_01_001908,لكل مش سهد النصيب,/Users/hisham/Code/Bahraini_TTS/data/speaker_export_SPK_01/wavs/SPK_01_001908.wav,1.713
bahraini_sft_conversation_gen_cleaned_000059_response,أكيد، نحط ملاحظة التواصل برسائل فقط. عطيني رقمك وتفضل واتساب ولا SMS؟,,
